Time,Theoretical PSI,Actual PSI,X Position,Y Position,Z Position
22:51:49,11.5,11.54,145.69,19.6,-272.38
22:52:01,11.55,11.55,145.68,19.589999999999996,-272.37
22:52:11,11.600000000000001,11.63,145.79,19.650000000000002,-272.42
22:52:21,11.650000000000002,11.64,145.56,19.630000000000003,-272.45
22:52:31,11.700000000000003,11.73,145.7,19.599999999999998,-272.46999999999997
22:52:42,11.750000000000004,11.73,145.62,19.570000000000004,-272.4
22:52:52,11.800000000000004,11.81,145.76,19.7,-272.32
22:53:02,11.850000000000005,11.82,145.75,19.66,-272.31
22:53:12,11.900000000000006,11.91,145.79,19.72,-272.29
22:53:22,11.950000000000006,11.91,145.74,19.809999999999995,-272.18
22:53:33,12.000000000000007,12.0,146.14,20.520000000000003,-271.64
22:53:43,12.050000000000008,12.05,146.19,20.619999999999997,-271.66
22:53:53,12.100000000000009,12.06,146.26999999999998,20.700000000000003,-271.63
22:54:03,12.15000000000001,12.16,146.36,20.63,-271.63
22:54:14,12.20000000000001,12.16,146.43,20.7,-271.49
22:54:24,12.25000000000001,12.24,146.59,20.78,-271.59000000000003
22:54:34,12.300000000000011,12.29,146.72,20.900000000000002,-271.49
22:54:44,12.350000000000012,12.35,146.89,20.919999999999998,-271.4
22:54:55,12.400000000000013,12.41,147.05,20.96,-271.3
22:55:05,12.450000000000014,12.4,147.11,20.959999999999997,-271.33
22:55:15,12.500000000000014,12.5,147.53,21.43,-270.96
22:55:25,12.550000000000015,12.55,147.87,21.43,-270.57
22:55:35,12.600000000000016,12.59,148.07,21.700000000000003,-270.26
22:55:46,12.650000000000016,12.65,148.74,22.669999999999998,-268.26
22:55:56,12.700000000000017,12.68,148.7,22.860000000000003,-267.46
22:56:06,12.750000000000018,12.73,148.97,23.549999999999997,-265.9
22:56:16,12.800000000000018,12.78,148.94,24.39,-263.6
22:56:27,12.85000000000002,12.84,148.82,25.35,-260.68
22:56:37,12.90000000000002,12.88,148.39,26.05,-258.21999999999997
22:56:47,12.95000000000002,12.92,147.67000000000002,26.580000000000002,-255.64
22:56:57,13.000000000000021,12.96,145.8,27.019999999999996,-250.57
22:57:08,13.050000000000022,13.02,142.51,27.0,-243.63
22:57:18,13.100000000000023,13.07,140.22,26.89,-239.45999999999998
22:57:28,13.150000000000023,13.13,138.41,26.699999999999996,-236.67000000000002
22:57:38,13.200000000000024,13.16,128.71,27.06,-224.82
