date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
2022/04/01 18:09:48,1.012,14.000,14.010,12.310,12.300
2022/04/01 18:09:49,2.078,14.100,14.050,12.310,12.300
2022/04/01 18:09:50,3.140,14.200,14.230,12.310,12.300
2022/04/01 18:09:51,4.205,14.300,14.120,12.310,12.300
2022/04/01 18:09:52,5.269,14.400,14.420,12.310,12.300
2022/04/01 18:09:53,6.331,14.500,14.490,12.310,12.300
2022/04/01 18:09:54,7.394,14.600,14.580,12.310,12.300
2022/04/01 18:09:56,8.456,14.700,14.680,12.310,12.300
2022/04/01 18:09:57,9.516,14.800,14.790,12.310,12.300
2022/04/01 18:09:58,10.579,14.900,14.830,12.310,12.300
2022/04/01 18:09:59,11.644,15.000,14.940,12.310,12.300
2022/04/01 18:10:00,12.700,15.100,15.030,12.310,12.300
2022/04/01 18:10:01,13.763,15.200,15.130,12.310,12.300
2022/04/01 18:10:02,14.812,15.300,15.240,12.310,12.300
2022/04/01 18:10:03,15.865,15.400,15.330,12.310,12.300
2022/04/01 18:10:04,16.928,15.500,15.420,12.310,12.300
2022/04/01 18:10:05,17.990,15.600,15.540,12.310,12.300
2022/04/01 18:10:06,19.052,15.700,15.500,12.310,12.300
2022/04/01 18:10:07,20.117,15.800,15.510,12.310,12.300
2022/04/01 18:10:08,21.180,15.900,15.390,12.310,12.300
2022/04/01 18:10:09,22.238,16.000,15.910,12.310,12.300
