date,elpased time,theoreticalPSI/Channel0,actualPSI/Channel0,actualPSI/Channel1,actualPSI/Channel2
2022/03/31 19:19:17,1.026,14.000,12.110,13.920,12.180
2022/03/31 19:19:18,2.115,14.100,12.110,14.140,12.180
2022/03/31 19:19:19,3.204,14.200,12.110,14.130,12.180
2022/03/31 19:19:20,4.306,14.300,12.110,14.310,12.180
2022/03/31 19:19:21,5.419,14.400,12.110,14.300,12.180
2022/03/31 19:19:22,6.519,14.500,12.110,14.450,12.180
2022/03/31 19:19:23,7.623,14.600,12.110,14.560,12.180
2022/03/31 19:19:24,8.724,14.700,12.110,14.680,12.180
2022/03/31 19:19:25,9.807,14.800,12.110,14.660,12.180
2022/03/31 19:19:26,10.906,14.900,12.110,14.780,12.180
2022/03/31 19:19:28,11.992,15.000,12.110,14.880,12.180
2022/03/31 19:19:29,13.094,15.100,12.110,15.070,12.180
2022/03/31 19:19:30,14.198,15.200,12.110,15.060,12.180
2022/03/31 19:19:31,15.297,15.300,12.100,15.180,12.180
2022/03/31 19:19:32,16.395,15.400,12.100,15.260,12.180
2022/03/31 19:19:33,17.499,15.500,12.110,15.450,12.180
2022/03/31 19:19:34,18.601,15.600,12.100,15.480,12.180
2022/03/31 19:19:35,19.685,15.700,12.110,15.560,12.180
2022/03/31 19:19:36,20.787,15.800,12.110,15.590,12.180
2022/03/31 19:19:38,21.901,15.900,12.110,15.840,12.180
2022/03/31 19:19:39,23.002,16.000,12.110,15.960,12.180
